工事番号,現場名,得意先名,得意先コード,工期開始,工期終了,請負金額,前期末未成工事支出金（材料費）,前期末未成工事支出金（労務費）,前期末未成工事支出金（外注費）,前期末未成工事支出金（経費）,状態,既定の原価区分
2026-001,市村様邸防水工事,K2,,2026/02,2026/04,1000000,,,,,進行中,外注費
2026-002,セントラル千里山西大規模修繕工事,大雅総建,,2026/03,2026/05,8609643,,,,,進行中,外注費
2026-003,リーガル堺大規模修繕工事,大雅総建,,2026/04,2026/06,8600000,,,,,進行中,外注費
2026-004,さつき障がい者作業所,K2,,2026/04,2026/06,5400000,,,,,進行中,材料費
2026-005,ヨークベル伊丹中央,yamato,,2026/04,2026/07,2450000,,,,,完成,
2026-006,ミリオンタウン伊丹荒牧店(塩ビ),ミズホ創建,,2026/05,2026/08,7700000,,,,,完成,外注費
2026-007,ミリオンタウン伊丹荒牧店(シーリング),ミズホ創建,,2026/05,2026/08,4700000,,,,,完成,
2026-008,東洋機器工業第二工場,ミズホ創建,,2026/06,2026/07,1080000,,,,,完成,
2026-009,東洋機器工業,ミズホ創建,,2026/06,2026/07,2120000,,,,,完成,
2026-010,（仮称）マルアイ梅井改装工事,ミズホ創建,,2026/06,2026/07,,,,,,完成,外注費
2026-011,村瀬様邸,大雅総建,,2026/06,2026/07,360000,,,,,完成,
2026-012,サンメゾン二反田,杉本建装工業,,2026/06,2026/07,980000,,,,,完成,
2026-013,足立様邸防水工事,建防,,2026/06,2026/07,120000,,,,,完成,外注費
2026-014,岩見様邸防水工事,建防,,2026/06,2026/07,170000,,,,,完成,外注費
2026-015,甲南高校改修工事,蒼林技建,,2026/06,2026/08,5870000,,,,,完成,
2026-016,大阪市東成区東中本計画新築工事,K2,,2026/06,2026/08,4620000,,,,,進行中,
2026-017,御幣島4丁目計画新築工事,K2,,2026/06,2026/08,7700000,,,,,進行中,
2026-018,レオパレス東今里,K2,,2026/06,2026/08,233600,,,,,進行中,
2026-019,ジョイフルカワイ防水工事,蒼林技建,,2026/07,2026/07,1830000,,,,,完成,
2026-020,林様邸防水工事,結栄総建,,2026/07,2026/07,110000,,,,,完成,外注費
2026-021,高砂薬業様新築工事,K-STYLE,,2026/07,2026/08,3100000,,,,,完成,
2026-022,レオパレス千鳥橋,K2,,2026/07,2026/09,,,,,,進行中,
2026-023,レオパレスジョイフルカワイ,K2,,2026/07,2026/09,,,,,,進行中,
2026-024,中の島公園,K2,,2026/07,2026/09,,,,,,進行中,外注費
2026-025,レオパレスジョイフル,K2,,2026/07,2026/09,,,,,,進行中,
2026-026,レオパレス千鳥橋,K2,,2026/07,2026/09,,,,,,進行中,
2026-027,京都刑務所防水工事,興亜,,2026/07,2026/09,6000000,,,,,進行中,外注費
2026-028,センプレヴィータ南甲子園,K2,,2026/07,2026/09,3600000,,,,,進行中,外注費
2026-029,京都教育保育園,結栄総建,,2026/07,2026/09,,,,,,進行中,
2026-030,白寿園,リプレイス,,2026/08,2026/08,,,,,,完成,
2026-031,宗川様邸,建防,,2026/08,2026/08,140000,,,,,完成,
2026-032,万代荒本店新築工事,ミズホ創建,,2026/08,2026/09,1050000,,,,,進行中,
2026-033,シェルプール２番館,K2,,2026/08,2026/10,,,,,,進行中,
2026-034,千船グレース,K2,,2026/08,2026/10,10248615,,,,,進行中,
2026-035,長堂新築工事,K2,,2026/08,2026/10,3080000,,,,,進行中,
2026-036,足代新築工事,K2,,2026/08,2026/10,2849000,,,,,進行中,
2026-037,メゾンベール六甲山手,山昇,,,,,,,,,見積,
2026-038,枚方市光善寺,ミズホ創建,,,,,,,,,見積,
2026-039,リトラス関西支店,ミズホ創建,,,,,,,,,見積,
2026-040,三島倉庫新築工事,ミズホ創建,,,,,,,,,見積,
2026-041,テニススクール・ノア尼崎塚口校,ミズホ創建,,,,,,,,,見積,
2026-042,阪神TBC,ミズホ創建,,,,,,,,,見積,
2026-043,小浜小学校,結栄総建,,,,,,,,,見積,
2026-044,コーポ南加賀屋,結栄総建,,,,,,,,,見積,
